Padalinio pavadinimas ,"Kategorija, kodas, taisyklių punktas",Pirkimo Nr.,"Sutarties Nr., PVM sąskaitos Nr.",Suma,"Prekių, paslaugų, darbų pavadinimas",Tiekėjai
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45262670-8,1,Atmestas pasiūlymas,,"Gatvių pavadinimų lentelių, statinių numerių gamyba ir tvirtinimo darbai","UAB ""ZONA OPTIMA"""
Aprūpinimo ir transporto skyrius,BVPŽ kodas 32333200-8,2,"2012-03-27 sutartis Nr. A68-4 (3.10.23-FN4) UAB ""Unolita""","42,772.29",Vaizdo aparatūra,"UAB „Unolita“, UAB „Sentios“, UAB „AV Systems“"
Miesto ūkio ir transporto d-tas,BVPŽ kodas 45451100-4,3,"2012-01-27 sutartis Nr. A62-1 (3.10.21-UK) VšĮ ""Dizaino artelė""","19,900.00","Šventinio miesto papuošimo Vasario 16-osios, Kovo 11-osios, Mindaugo karūnavimo ir kitomis progomis darbai","UAB ""VDI reklama"", UAB ""Reklamos menas"", VšĮ ""Dizaino artelė"""
E. miesto departamentas,7 paslaugų kategorija BVPŽ kodas 72212000-4,4,"2012-02-08 sutartis Nr. A64-15(3.10.22-FN4) UAB ""BaltStamp""",3993.00,Laiko žymos (formavimo paslaugos) pirkimas,"Valstybinė įmonė Registrų centras, UAB ""BaltStamp"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,5,2012.01.13 PVM sąskaita faktūra Nr. MKC-000935 VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras,870.00,Seminaras-susitikimas finansų ir biudžeto padalinių vadovams,VšĮ Lietuvos savivaldybių asociacijos Mokymo ir konsultavimo centras
"Švietimo, kultūros ir sporto departamentas Kultūros skyrius",8 paslaugų kategorija BVPŽ kodas 73120000-9,6,"2012-04-10 sutartis Nr. A64-41(3.10.22-KS) Monika Krištopaitytė, 2012-04-10 sutartis A64-40(3.10.22-KS) Laima Kreivytė, 2012-04-10 sutartis Nr. A64-39(3.10.22-KS) Renata Šukaitytė, 2012-04-10 sutartis Nr. A64-43(3.10.22-KS)  Milda Laužikaitė, 2012-04-10 sutartis Nr. A64-42(3.10.22-KS) Aurelija Maknytė",9869.00,Kultūros rėmimo programų projektų konkurso paraiškų vertinimas,"Monika Krištopaitytė, Vidas Poškus, Skaidrė Urbonienė, Aistė Virbickaitė, Akvilė Anglickaitė, Laima Kreivytė, Renata Šukaitytė, Agnė Narušytė, Skaidra Trilupaitytė, Vytautas Balčiūnas, Julijus Lozoraitis, Milda Laužikaitė, Ieva Kuizinienė, Aurelija Maknytė, Eglė Mikalajūnaitė"
Verkių seniūnija,BVPŽ kodas 15800000-6,7,2012.02.13 PVM sąskaita faktūra Nr. ZIN 0079 G.Zinkevičienės personalinė įmonė,5129.43,Įvairūs maisto produktai Verkių seniūnijos renginiams organizuoti,"UAB ""K.Šiurpos kavinė-baras"", UAB ""Lukre"", G.Zinkevičienės personalinė įmonė"
Verkių seniūnija,BVPŽ kodas 37400000-2,8,"2012-02-07 PVM sąskaita faktūra Nr. RIVK 0374, 2012-03-13 PVM sąskaita faktūra Nr. RIVK 0384 R. Luniaus įmonė ""RIVAGRIS""",5042.72,Verkių seniūnijos sporto prekių ir reikmenų pirkimas,"R. Luniaus įmonė ""RIVAGRIS"", UAB ""Demostyle"", UAB ""Sportas ir mada"""
Justiniškių seniūnija,BVPŽ kodas 50700000-2,9,"2012-03-02 sutartis Nr. A64-26(3.10.22-FN4) UAB ""Jurita""",2420.00,Patalpų Rygos g. 15 administravimo ir priežiūros paslaugos,"UAB ""Jurita"""
Personalo departamentas,24 paslaugų kategorija BVPŽ kodas 80522000-9,10,"2012.01.19 PVM sąskaita faktūra Nr. E2010M 1852 UAB ""Ekspertų mugė""",387.2,Viešieji pirkimai - žinoti būtina,"UAB ""Ekspertų mugė"""
